flightNumber;dep_airport_code;arr_airport_code;plane;dep_weather_desc;dep_date
JAF6704;TFS;CRL;BOEING 737-700 WINGLETS;Despejado;14/04/18
TFL540;TFS;AMS;BOEING 737-800 WINGLETS;Despejado;14/04/18
RYR5553;TFS;HHN;BOEING 737-800 WINGLETS;Despejado;14/04/18
VLG6217;TFS;FCO;32A;Despejado;14/04/18
BAW415;TFS;LHR;32A;Despejado;14/04/18
EZY8704;TFS;LGW;32A;Despejado;14/04/18
DTR603;TFS;AAR;AIRBUS A320;Despejado;14/04/18
TCX1295;TFS;GLA;32B;Despejado;14/04/18
JTG320;TFS;CPH;BOEING 737-800 WINGLETS;Despejado;14/04/18
JTG712;TFS;JKG;BOEING 737-700 WINGLETS;Despejado;14/04/18
JTG508;TFS;BLL;BOEING 737-700 WINGLETS;Despejado;14/04/18
VLG3173;TFS;NTE;32A;Despejado;14/04/18
JTG916;TFS;HEL;BOEING 737-800 WINGLETS;Despejado;14/04/18
IBS3911;TFS;MAD;32A;Despejado;14/04/18
RYR9107;GRO;BVA;BOEING 737-800 WINGLETS;Lluvia;14/04/18
RYR6901;GRO;CRL;BOEING 737-800 WINGLETS;Lluvia;14/04/18
RYR9012;GRO;MLA;BOEING 737-800 WINGLETS;Lluvia;14/04/18
RYR6911;GRO;MST;BOEING 737-800 WINGLETS;Lluvia;14/04/18
RYR9375;GRO;TLL;BOEING 737-800 WINGLETS;Lluvia;14/04/18
RYR9002;GRO;BLL;BOEING 737-800 WINGLETS;Lluvia;14/04/18
RYR9307;GRO;PIK;BOEING 737-800 WINGLETS;Lluvia;14/04/18
RYR6393;GRO;NRN;BOEING 737-800 WINGLETS;Lluvia;14/04/18
RYR3653;GRO;BRE;BOEING 737-800 WINGLETS;Lluvia;14/04/18
RYR9911;GRO;BOH;BOEING 737-800 WINGLETS;Lluvia;14/04/18
RYR9123;GRO;EIN;BOEING 737-800 WINGLETS;Lluvia;15/04/18
RYR7083;GRO;OMR;BOEING 737-800 WINGLETS;Lluvia;15/04/18
RYR9555;GRO;FMM;BOEING 737-800 WINGLETS;Lluvia;15/04/18
RYR6901;GRO;CRL;BOEING 737-800 WINGLETS;Lluvia;15/04/18
RYR9305;GRO;LPL;BOEING 737-800 WINGLETS;Lluvia;15/04/18
RYR9172;GRO;WRO;BOEING 737-800 WINGLETS;Lluvia;15/04/18
RYR4125;GRO;HHN;BOEING 737-800 WINGLETS;Lluvia;15/04/18
RYR7037;GRO;DUB;BOEING 737-800 WINGLETS;Lluvia;15/04/18
RYR9364;GRO;PSR;BOEING 737-800 WINGLETS;Lluvia;15/04/18
RYR9241;GRO;PSA;BOEING 737-800 WINGLETS;Lluvia;15/04/18
RYR9803;GRO;STN;BOEING 737-800 WINGLETS;Lluvia;15/04/18
PBD832;GRO;VKO;BOEING 737-800 WINGLETS;Lluvia;15/04/18
RYR9211;GRO;FKB;BOEING 737-800 WINGLETS;Lluvia;15/04/18
JAF6198;LPA;CRL;BOEING 737-800 WINGLETS;Nubes altas;14/04/18
AEA9401;LPA;TFN;ATR-72;Nubes altas;14/04/18
IBB6902;LPA;BJL;BOMBARDIER CRJ-1000;Nubes altas;14/04/18
IBB6167;LPA;VIL;ATR-72;Nubes altas;14/04/18
DE3551;LPA;FRA;BOEING 757-300 WINGLETS;Nubes altas;14/04/18
IBB6504;LPA;NKC;BOMBARDIER CRJ-1000;Nubes altas;14/04/18
IBB508;LPA;ACE;ATR-72;Nubes altas;14/04/18
IBB133;LPA;TFN;ATR-72;Nubes altas;14/04/18
BLX296;LPA;MMX;BOEING 737-800 WINGLETS;Nubes altas;14/04/18
RYR6699;LPA;EDI;BOEING 737-800 WINGLETS;Nubes altas;14/04/18
SDR3173;LPA;TXL;AIRBUS A320;Nubes altas;14/04/18
RYR8133;LPA;STN;BOEING 737-800 WINGLETS;Nubes altas;14/04/18
IBK5922;LPA;CPH;BOEING 737-800 WINGLETS;Nubes altas;14/04/18
JTG728;LPA;NRK;BOEING 737-800 WINGLETS;Nubes altas;14/04/18
TOM3645;LPA;ARN;BOEING 767-300 WINGLETS;Nubes altas;14/04/18
JTG766;LPA;UME;BOEING 737-700 WINGLETS;Nubes altas;14/04/18
BLX640;LPA;GOT;BOEING 737-800 WINGLETS;Nubes altas;14/04/18
GMI7811;LPA;BRE;AIRBUS A321;Nubes altas;14/04/18
CNF729;LPA;ACE;ATR-72;Nubes altas;14/04/18
BLX264;LPA;HEL;BOEING 737-800 WINGLETS;Nubes altas;14/04/18
VLG3069;LPA;AGP;AIRBUS A320;Nubes altas;14/04/18
GMI2863;FUE;HAM;AIRBUS A319;Nubes altas;14/04/18
CNF810;FUE;LPA;ATR-42/72;Nubes altas;14/04/18
TCX1863;FUE;BHX;AIRBUS A321;Nubes altas;14/04/18
RYR3526;FUE;LTN;BOEING 737-800 WINGLETS;Nubes altas;14/04/18
GMI8985;FUE;BRE;AIRBUS A319;Nubes altas;14/04/18
TCX1483;FUE;MAN;32B;Nubes altas;14/04/18
TCX1149;FUE;GLA;AIRBUS A321;Nubes altas;14/04/18
IBB207;FUE;LPA;ATR-72;Nubes altas;14/04/18
TUI2175;FUE;STR;BOEING 737-800 WINGLETS;Nubes altas;14/04/18
RYR7129;FUE;DUB;BOEING 737-800 WINGLETS;Nubes altas;14/04/18
TCX1759;FUE;EMA;AIRBUS A321;Nubes altas;14/04/18
RYR5469;FUE;MAD;BOEING 737-800 WINGLETS;Nubes altas;14/04/18
EWG243;FUE;CGN;AIRBUS A320;Nubes altas;14/04/18
IBS3907;FUE;MAD;AIRBUS A321;Nubes altas;14/04/18
IBB417;FUE;TFN;ATR-42/72;Nubes altas;14/04/18
IBB213;FUE;LPA;ATR-42/72;Nubes altas;14/04/18
EXS522;FUE;NCL;BOEING 737-800 WINGLETS;Nubes altas;14/04/18
GMI3483;FUE;ERF;BOEING 737-700;Nubes altas;14/04/18
EXS250;FUE;LBA;BOEING 757-200  WINGLETS;Nubes altas;14/04/18
JAF6012;FUE;BRU;BOEING 737-800 WINGLETS;Nubes altas;14/04/18
EZY5924;FUE;TXL;32A;Nubes altas;14/04/18
EXS308;FUE;BFS;BOEING 737-300 WINGLETS;Nubes altas;14/04/18
IBB223;FUE;LPA;ATR-42/72;Nubes altas;14/04/18
RYR6384;BCN;SDR;BOEING 737-800 WINGLETS;Lluvia;14/04/18
IBE0554;MAD;SDR;AIRBUS A319;Nubosidad variable;14/04/18
RYR2593;AGP;SDR;BOEING 737-800 WINGLETS;Despejado;14/04/18
RYR2214;VLC;SDR;BOEING 737-800 WINGLETS;Nubosidad variable;14/04/18
IBE0556;MAD;SDR;AIRBUS A319;Nubosidad variable;14/04/18
RYR6384;BCN;SDR;BOEING 737-800 WINGLETS;Lluvia;15/04/18
IBE0554;MAD;SDR;AIRBUS A319;Nubosidad variable;15/04/18
VLG2509;SVQ;BIO;AIRBUS A320;Nubes altas;14/04/18
VLG3281;ACE;BIO;AIRBUS A320;Nubes altas;14/04/18
LAV5547;TFN;BIO;BOEING 737-400;Despejado;14/04/18
VLG3261;TFN;BIO;32A;Despejado;14/04/18
VLG2615;XRY;BIO;32A;Nubosidad variable;14/04/18
AEA7153;MAD;BIO;EMBRAER ERJ-195;Nubosidad variable;14/04/18
IBS3949;SVQ;MAD;AIRBUS A320;Nubes altas;14/04/18
DLH1141;SVQ;FRA;AIRBUS A321;Nubes altas;14/04/18
RYR7147;SVQ;DUB;BOEING 737-800 WINGLETS;Nubes altas;14/04/18
RYR5272;SVQ;PMI;BOEING 737-800 WINGLETS;Nubes altas;14/04/18
VLG2209;SVQ;BCN;32A;Nubes altas;14/04/18
RYR7338;SVQ;BOD;BOEING 737-800 WINGLETS;Nubes altas;14/04/18
TVF3105;SVQ;ORY;BOEING 737-800 WINGLETS;Nubes altas;14/04/18
TAP1105;SVQ;LIS;ATR-42/72;Nubes altas;14/04/18
VLG2424;SVQ;IBZ;AIRBUS A320;Nubes altas;14/04/18
RYR1192;SVQ;TLS;BOEING 737-800 WINGLETS;Nubes altas;14/04/18
IBS9529;SVQ;PMI;AIRBUS A320;Nubes altas;14/04/18
ANE2004;SVQ;CDT;BOMBARDIER CRJ-1000;Nubes altas;14/04/18
RYR8364;SVQ;STN;BOEING 737-800 WINGLETS;Nubes altas;14/04/18
RYR9667;SVQ;FCO;BOEING 737-800 WINGLETS;Nubes altas;14/04/18
VLG8886;SVQ;LYS;AIRBUS A320;Nubes altas;14/04/18
RYR6445;SVQ;CRL;BOEING 737-800 WINGLETS;Nubes altas;14/04/18
RYR4077;SVQ;KRK;BOEING 737-800 WINGLETS;Nubes altas;14/04/18
IBS3951;SVQ;MAD;AIRBUS A320;Nubes altas;14/04/18
BEL3748;SVQ;BRU;AIRBUS A319;Nubes altas;14/04/18
VLG3046;SVQ;LPA;AIRBUS A320;Nubes altas;14/04/18
VLG1241;ALC;CWL;AIRBUS A320;Nubosidad variable;14/04/18
NAX4202;ALC;ARN;BOEING 737-800 WINGLETS;Nubosidad variable;14/04/18
EVE1123;ALC;VGO;32A;Nubosidad variable;14/04/18
RYR5544;ALC;BLQ;BOEING 737-800 WINGLETS;Nubosidad variable;14/04/18
RYR9086;ALC;GOT;BOEING 737-800 WINGLETS;Nubosidad variable;14/04/18
RYR9084;ALC;EMA;BOEING 737-800 WINGLETS;Nubosidad variable;14/04/18
RYR1323;ALC;SNN;BOEING 737-800 WINGLETS;Nubosidad variable;14/04/18
EXS272;ALC;LBA;BOEING 737-800 WINGLETS;Nubosidad variable;14/04/18
BMS5574;ALC;LPL;BOEING 737-700;Nubosidad variable;14/04/18
EXS776;ALC;EDI;BOEING 737-800 WINGLETS;Nubosidad variable;14/04/18
EZY8664;ALC;LGW;32A;Nubosidad variable;14/04/18
RYR1308;ALC;BFS;BOEING 737-800 WINGLETS;Nubosidad variable;14/04/18
EZY6878;ALC;GLA;32A;Nubosidad variable;14/04/18
EZY6702;ALC;BFS;32A;Nubosidad variable;14/04/18
EZY7416;ALC;SEN;AIRBUS A319;Nubosidad variable;14/04/18
IBK5332;ALC;AES;BOEING 737-800 WINGLETS;Nubosidad variable;14/04/18
RYR7063;ALC;DUB;BOEING 737-800 WINGLETS;Nubosidad variable;14/04/18
BEL1574;ALC;BRU;AIRBUS A319;Nubosidad variable;14/04/18
AEA2673;ALC;BIO;BOEING 737-800 WINGLETS;Nubosidad variable;14/04/18
IBK2439;ALC;LGW;BOEING 737-800 WINGLETS;Nubosidad variable;14/04/18
SBI876;ALC;DME;AIRBUS A321;Nubosidad variable;14/04/18
RYR9098;ALC;KUN;BOEING 737-800 WINGLETS;Nubosidad variable;14/04/18
RYR9069;ALC;TRF;BOEING 737-800 WINGLETS;Nubosidad variable;14/04/18
VLG7748;ALC;LED;32A;Nubosidad variable;14/04/18
AEA9464;SPC;TFN;ATR-72;Nubes altas;14/04/18
IBB620;SPC;TFN;ATR-72;Nubes altas;14/04/18
EWG9545;SPC;DUS;32A;Nubes altas;14/04/18
GMI3953;SPC;HAM;AIRBUS A319;Nubes altas;14/04/18
EWG7529;SPC;HAM;32A;Nubes altas;14/04/18
IBB622;SPC;TFN;ATR-42/72;Nubes altas;14/04/18
IBS3843;SPC;MAD;AIRBUS A320;Nubes altas;14/04/18
CNF453;SPC;TFN;ATR-72;Nubes altas;14/04/18
IBB632;SPC;TFN;ATR-42/72;Nubes altas;14/04/18
AEA9466;SPC;TFN;ATR-72;Nubes altas;14/04/18
VLG3249;SPC;BCN;AIRBUS A320;Nubes altas;14/04/18
EWG2269;SPC;STR;32A;Nubes altas;14/04/18
IBB636;SPC;TFN;ATR-42/72;Nubes altas;14/04/18
IBB316;SPC;LPA;ATR-72;Nubes altas;14/04/18
AEA9480;SPC;TFN;ATR-72;Nubes altas;14/04/18
IBB638;SPC;TFN;ATR-42/72;Nubes altas;14/04/18
IBB640;SPC;TFN;ATR-72;Nubes altas;14/04/18
CNF468;SPC;TFN;ATR-72;Nubes altas;14/04/18
AEA9468;SPC;TFN;ATR-72;Nubes altas;14/04/18
IBB642;SPC;TFN;ATR-72;Nubes altas;14/04/18
IBB318;SPC;LPA;ATR-72;Nubes altas;14/04/18
ANE8483;MAH;PMI;BOMBARDIER CRJ-1000;Despejado;17/04/18
AEA6013;MAD;PMI;BOEING 737-800 WINGLETS;Nubosidad variable;14/04/18
AEA6037;BCN;PMI;BOEING 737-800 WINGLETS;Lluvia;14/04/18
IBS3914;MAD;PMI;32A;Nubosidad variable;14/04/18
VLG1579;BCN;OVD;AIRBUS A320;Lluvia;14/04/18
VOE3591;PMI;OVD;BOEING 717;Lluvia moderada;14/04/18
IBS3612;TFN;OVD;AIRBUS A320;Despejado;14/04/18
IBS3980;MAD;OVD;AIRBUS A320;Nubosidad variable;14/04/18
IBE0480;MAD;OVD;32A;Nubosidad variable;14/04/18
VLG3138;ACE;OVD;AIRBUS A320;Nubes altas;14/04/18
VLG1573;BCN;OVD;AIRBUS A320;Lluvia;15/04/18
IBE8334;VLC;OVD;ATR-72;Nubosidad variable;15/04/18
IBE0488;MAD;OVD;AIRBUS A321;Nubosidad variable;15/04/18
IBE8333;PMI;OVD;CANADAIR CRJ-200;Despejado;17/04/18
VLG1579;BCN;OVD;AIRBUS A320;Lluvia;15/04/18
IBE8646;MAD;GRX;BOMBARDIER CRJ-1000;Nubosidad variable;14/04/18
IBE8642;MAD;GRX;CANADAIR CRJ-900;Nubosidad variable;14/04/18
VLG2014;BCN;GRX;AIRBUS A320;Lluvia;14/04/18
VLG2016;BCN;GRX;AIRBUS A321;Lluvia;14/04/18
IBE8648;MAD;GRX;BOMBARDIER CRJ-1000;Nubosidad variable;14/04/18
VLG2010;BCN;GRX;AIRBUS A321;Lluvia;15/04/18
IBE8640;MAD;GRX;BOMBARDIER CRJ-1000;Nubosidad variable;15/04/18
VLG2020;BCN;GRX;AIRBUS A320;Lluvia;15/04/18
AEA5201;PMI;GRX;EMBRAER ERJ-195;Lluvia moderada;15/04/18
VLG3933;PMI;GRX;AIRBUS A320;Lluvia moderada;15/04/18
IBE8646;MAD;GRX;BOMBARDIER CRJ-1000;Nubosidad variable;15/04/18
RYR7216;VLC;IBZ;BOEING 737-800 WINGLETS;Nubosidad variable;14/04/18
IBE8910;MAD;IBZ;BOMBARDIER CRJ-1000;Nubosidad variable;14/04/18
IBE8108;PMI;IBZ;BOMBARDIER CRJ-1000;Despejado;17/04/18
VLG3510;BCN;IBZ;32A;Lluvia;14/04/18
IBE8679;SCQ;IBZ;BOMBARDIER CRJ-1000;Nubosidad variable;14/04/18
AEA6025;MAD;IBZ;EMBRAER ERJ-195;Nubosidad variable;14/04/18
AEA1706;PMI;IBZ;ATR-72;Lluvia moderada;14/04/18
RYR8146;AGP;IBZ;BOEING 737-800 WINGLETS;Despejado;14/04/18
VLG2011;GRX;BCN;32B;Nubosidad variable;14/04/18
IBE8441;IBZ;VLC;ATR-72;Llovizna;14/04/18
IBE8974;MAD;VLC;BOMBARDIER CRJ-1000;Nubosidad variable;14/04/18
RYR7217;IBZ;VLC;BOEING 737-800 WINGLETS;Llovizna;14/04/18
AEA4065;MAD;VLC;ATR-72;Nubosidad variable;14/04/18
IBE8633;PMI;VLC;CANADAIR CRJ-200;Despejado;17/04/18
IBE8812;MAD;AGP;BOMBARDIER CRJ-1000;Nubosidad variable;14/04/18
IBE8263;MLN;AGP;ATR-72;Despejado;14/04/18
RYR6386;BCN;AGP;BOEING 737-800 WINGLETS;Lluvia;14/04/18
IBB109;LPA;TFN;ATR-72;Nubes altas;14/04/18
AEA9401;LPA;TFN;ATR-72;Nubes altas;14/04/18
IBB660;VDE;TFN;ATR-42/72;Despejado;14/04/18
IBB423;FUE;TFN;ATR-42/72;Nubes altas;14/04/18
IBB469;ACE;TFN;ATR-42/72;Nubes altas;14/04/18
IBE8204;SCQ;TFN;CANADAIR CRJ-900;Nubosidad variable;14/04/18
IBB133;LPA;TFN;ATR-72;Nubes altas;14/04/18
IBE8098;VLC;TFN;BOMBARDIER CRJ-1000;Nubosidad variable;14/04/18
IBS3932;MAD;TFN;AIRBUS A320;Nubosidad variable;14/04/18
IBB620;SPC;TFN;ATR-72;Nubes altas;14/04/18
AEA9464;SPC;TFN;ATR-72;Nubes altas;14/04/18
IBB145;LPA;TFN;ATR-72;Nubes altas;14/04/18
VLG3254;SVQ;TFN;AIRBUS A320;Nubes altas;14/04/18
AEA9118;MAD;TFN;BOEING 737-800 WINGLETS;Nubosidad variable;14/04/18
VLG3216;BCN;TFN;32B;Lluvia;14/04/18
IBB147;LPA;TFN;ATR-72;Nubes altas;14/04/18
IBS3874;MAD;SCQ;AIRBUS A320;Nubosidad variable;14/04/18
RYR2573;AGP;SCQ;BOEING 737-800 WINGLETS;Despejado;14/04/18
RYR723;PMI;SCQ;BOEING 737-800 WINGLETS;Lluvia moderada;14/04/18
IBS3878;MAD;SCQ;AIRBUS A320;Nubosidad variable;14/04/18
AEA7117;ACE;SCQ;BOEING 737-800 WINGLETS;Nubes altas;14/04/18
AEA2618;VLC;SCQ;BOEING 737-800 WINGLETS;Nubosidad variable;14/04/18
VLG1672;BCN;SCQ;AIRBUS A320;Lluvia;14/04/18
RYR7003;LPA;SCQ;BOEING 737-800 WINGLETS;Nubes altas;14/04/18
IBE8205;TFN;SCQ;BOMBARDIER CRJ-1000;Despejado;14/04/18
VLG3136;ACE;SCQ;AIRBUS A320;Nubes altas;14/04/18
RYR7222;VLC;SCQ;BOEING 737-800 WINGLETS;Nubosidad variable;15/04/18
RYR6332;BCN;SCQ;BOEING 737-800 WINGLETS;Lluvia;15/04/18
IBS3876;MAD;SCQ;AIRBUS A321;Nubosidad variable;15/04/18
IBS3910;MAD;TFS;32A;Nubosidad variable;14/04/18
LLX5062;ACE;TFS;BOEING 737-400;Nubes altas;14/04/18
IBB120;TFN;LPA;ATR-42/72;Despejado;14/04/18
IBB152;TFS;LPA;ATR-72;Despejado;14/04/18
IBB211;FUE;LPA;ATR-72;Nubes altas;14/04/18
IBB110;TFN;LPA;ATR-42/72;Despejado;14/04/18
VLG3068;AGP;LPA;AIRBUS A320;Despejado;14/04/18
IBE8804;ALC;LPA;BOMBARDIER CRJ-1000;Despejado;17/04/18
IBB132;TFN;LPA;ATR-42/72;Despejado;14/04/18
AEA9448;ACE;LPA;ATR-72;Nubes altas;14/04/18
CNF810;FUE;LPA;ATR-42/72;Nubes altas;14/04/18
AEA9402;TFN;LPA;ATR-72;Despejado;14/04/18
VLG1341;MAH;ALC;32A;Lluvia moderada;14/04/18
AEA2674;BIO;ALC;BOEING 737-800 WINGLETS;Nubosidad variable;14/04/18
VLG3937;PMI;ALC;AIRBUS A320;Lluvia moderada;14/04/18
RYR5273;PMI;SVQ;BOEING 737-800 WINGLETS;Lluvia moderada;14/04/18
RYR2036;VIT;SVQ;BOEING 737-800 WINGLETS;Abertura de claros;14/04/18
VLG2210;BCN;SVQ;32A;Lluvia;14/04/18
VLG2510;BIO;SVQ;AIRBUS A320;Nubosidad variable;14/04/18
IBS9526;PMI;SVQ;AIRBUS A320;Lluvia moderada;14/04/18
VLG2433;MAH;SVQ;AIRBUS A320;Lluvia moderada;14/04/18
IBS3952;MAD;SVQ;AIRBUS A320;Nubosidad variable;14/04/18
VLG3255;TFN;SVQ;AIRBUS A320;Despejado;14/04/18
EVE1101;ALC;SVQ;32A;Nubosidad variable;14/04/18
VLG2425;IBZ;SVQ;AIRBUS A320;Llovizna;14/04/18
AEA9463;TFN;SPC;ATR-72;Despejado;14/04/18
IBB619;TFN;SPC;ATR-72;Despejado;14/04/18
IBB621;TFN;SPC;ATR-42/72;Despejado;14/04/18
IBS3842;MAD;SPC;AIRBUS A320;Nubosidad variable;14/04/18
CNF452;TFN;SPC;ATR-72;Despejado;14/04/18
IBB631;TFN;SPC;ATR-42/72;Despejado;14/04/18
IBE2228;TFN;SPC;ATR-42/72;Despejado;17/04/18
VLG3248;BCN;SPC;AIRBUS A320;Lluvia;14/04/18
AEA9465;TFN;SPC;ATR-72;Despejado;14/04/18
IBB623;TFN;SPC;ATR-42/72;Despejado;14/04/18
AEA9479;TFN;SPC;ATR-72;Despejado;14/04/18
IBB315;LPA;SPC;ATR-72;Nubes altas;14/04/18
IBB637;TFN;SPC;ATR-42/72;Despejado;14/04/18
IBB639;TFN;SPC;ATR-72;Despejado;14/04/18
CNF467;TFN;SPC;ATR-72;Despejado;14/04/18
AEA9467;TFN;SPC;ATR-72;Despejado;14/04/18
IBB627;TFN;SPC;ATR-42/72;Despejado;14/04/18
IBB317;LPA;SPC;ATR-72;Nubes altas;14/04/18
IBE8482;PMI;MAH;BOMBARDIER CRJ-1000;Despejado;17/04/18
VLG2432;SVQ;MAH;AIRBUS A320;Nubes altas;14/04/18
IBE8498;PMI;MAH;ATR-42/72;Despejado;17/04/18
IBE8661;VIT;MAH;BOMBARDIER CRJ-1000;Abertura de claros;14/04/18
AEA4531;PMI;MAH;ATR-72;Lluvia moderada;14/04/18
RYR6881;BCN;MAH;BOEING 737-800 WINGLETS;Lluvia;14/04/18
VLG3716;BCN;MAH;32A;Lluvia;14/04/18
VLG3700;BCN;MAH;AIRBUS A320;Lluvia;14/04/18
IBE8492;PMI;MAH;ATR-42/72;Despejado;17/04/18
IBE8496;PMI;MAH;BOMBARDIER CRJ-1000;Despejado;17/04/18
VLG3718;BCN;MAH;AIRBUS A321;Lluvia;14/04/18
