ID;ICAO;Name;Country;Active
1;N/A;Private flight;Desconocido;Y
2;GNL;135 Airways;United States;N
3;RNX;1Time Airline;South Africa;Y
4;WYT;2 Sqn No 1 Elementary Flying Training School;United Kingdom;N
5;TFU;213 Flight Unit;Russia;N
6;CHD;223 Flight Unit State Airline;Russia;N
7;TTF;224th Flight Unit;Russia;N
8;TWF;247 Jet Ltd;United Kingdom;N
9;SEC;3D Aviation;United States;N
10;MLA;40-Mile Air;United States;Y
11;QRT;4D Air;Thailand;N
12;THD;611897 Alberta Limited;Canada;N
13;AAA;Ansett Australia;Australia;Y
15;AAB;Abelag Aviation;Belgium;N
16;AAC;Army Air Corps;United Kingdom;N
17;AAD;Aero Aviation Centre Ltd.;Canada;N
18;SII;Aero Servicios Ejecutivos Internacionales;Mexico;N
19;BZS;Aero Biniza;Mexico;N
20;ABM;Aero Albatros;Spain;N
21;AAF;Aigle Azur;France;Y
22;AAH;Aloha Airlines;United States;Y
23;AAK;Alaska Island Air;United States;N
24;AAL;American Airlines;United States;Y
25;AAM;Aviation Management Corporation;United States;N
26;AAO;Atlantis Airlines (USA);United States;N
27;AAP;Aerovista Airlines;United Arab Emirates;N
28;AAR;Asiana Airlines;Republic of Korea;Y
29;AAS;Askari Aviation;Pakistan;Y
30;AAU;Australia Asia Airlines;Australia;N
31;AAV;Astro Air International;United States;N
32;AAW;Afriqiyah Airways;Libya;Y
33;AFU;Afrinat International Airlines;Gambia;N
34;AAX;Afric'air Express;Ivory Coast;N
35;AAY;Allegiant Air;United States;Y
36;AAZ;Angus Aviation;Canada;N
37;ABA;Artem-Avia;Ukraine;N
38;ABB;African Business and Transportations;Democratic Republic of the Congo;N
39;ABE;Aban Air;Iran;n
40;ABF;Aerial Oy;Finland;N
41;ABG;Abakan-Avia;Russia;N
42;TUS;ABSA - Aerolinhas Brasileiras;Brazil;Y
43;ABJ;Abaet;Brazil;N
44;ABK;Alberta Citylink;Canada;N
45;ABO;APSA Colombia;Colombia;N
46;ABU;Aerovias Bueno;Colombia;N
47;ACR;Aerocenter;AEROCENTER;N
48;ABV;Antrak Air;Ghana;N
49;ABX;Airborne Express;United States;N
50;ABX;ABX Air;United States;N
51;ABZ;ATA Brasil;Brazil;N
52;ACC;Avcard Services;United Kingdom;N
53;ACD;Academy Airlines;United States;N
54;ACO;Aero Comondu;Mexico;N
55;ACP;Astral Aviation;Kenya;Y
56;ACS;Air Cess;Liberia;N
57;AAI;Air Aurora;United States;N
58;ACU;Air Cargo Transportation System;Kenya;N
59;ACV;Air Charter Service;United Kingdom;N
60;RSO;Aero Asia International;Pakistan;N
61;ACX;Air Charters;Canada;N
62;TGA;Air Togo;Togo;N
63;RSM;Air Somalia;Somali Republic;N
64;ACY;Atlas Cargo Lines;Morocco;N
65;ADA;Airservices Australia;Australia;N
69;ADB;Antonov Airlines;Ukraine;N
70;ADC;Air Atlantic Dominicana;Dominican Republic;N
71;ADD;Advanced Air Co.;Japan;N
72;ADE;Ada Air;Albania;Y
73;ADG;Aerea Flying Training Organization;Spain;N
74;ADI;Audeli Air;Spain;N
75;ADJ;Abicar;Ivory Coast;N
76;ADK;ADC Airlines;Nigeria;N
77;ADL;Aero Dynamics;United Kingdom;N
78;ADM;Aerolineas Dominicanas;Dominican Republic;N
79;ADN;Aerodienst GmbH;Germany;N
80;ADP;Aerodiplomatic;Mexico;N
81;ADY;Aerodyne;United States;N
82;ADQ;Avion Taxi;Canada;N
83;ADR;Adria Airways;Slovenia;Y
84;ADS;Aviones de Sonora;Mexico;N
85;ADT;Air Dorval;Canada;N
86;ADU;Airdeal Oy;Finland;N
87;ADV;Advance Air Charters;Canada;N
88;ADW;Air Andaman;Thailand;N
89;ADX;Anderson Aviation;United States;N
90;AEA;Air Europa;Spain;Y
91;ASW;Air Southwest Ltd.;Canada;N
92;ASX;Air Special;Czech Republic;N
93;AEB;Aero Benin;Benin;Y
94;AEC;Aerocesar;AEROCESAR;N
95;AED;Aerotrans Airlines;Russia;N
96;AEE;Aegean Airlines;Greece;Y
97;AEG;Aerofumigaciones Sam;Chile;N
98;AEI;Aeroexpreso Interamericano;Colombia;N
99;AEJ;Air Express;Tanzania;N
100;AEK;Aerocon;Bolivia;N
101;AEM;Aero Madrid;Spain;N
102;AEN;Aeroenlaces Nacionales;Mexico;N
103;AEO;Aeroservicios Ejecutivos Del Occidente;Mexico;N
104;AEP;Aerotec;Spain;N
105;AAG;Air Atlantique;United Kingdom;N
106;AEL;Air Europe;Italy;Y
107;AAJ;Air Alma;Canada;N
108;AEQ;Air Express;Sweden;N
109;AER;Alaska Central Express;United States;Y
110;AES;ACES Colombia;Colombia;Y
111;AET;Aeronautical Radio of Thailand;Thailand;N
112;AEU;Astraeus;United Kingdom;Y
113;AEV;Aeroventas;Mexico;N
114;AEW;Aerosvit Airlines;Ukraine;Y
115;AEX;Airway Express;United States;N
116;AEY;Air Italy;Italy;Y
117;AEZ;Aerial Transit Company;United States;N
118;AFA;Alfa Air;Czech Republic;N
119;AFB;American Falcon;Argentina;N
120;UTY;Alliance Airlines;Australia;Y
121;UVS;Air Universal;Sierra Leone;N
122;UVT;Auvia Air;Indonesia;N
123;AFC;African West Air;Senegal;N
124;AFE;Airfast Indonesia;Indonesia;N
125;AFG;Ariana Afghan Airlines;Afghanistan;Y
126;AFH;Air Fecteau;Canada;N
127;AFI;Africaone;Uganda;N
128;AFJ;Alliance;Uganda;N
129;AFK;Africa Air Links;Sierra Leone;N
130;AFL;Aeroflot Russian Airlines;Russia;Y
131;AFO;Aero Empresa Mexicana;Mexico;N
132;BON;Air Bosna;Bosnia and Herzegovina;Y
133;BRF;Air Bravo;Uganda;N
134;BRL;Air Brasd'or;Canada;N
135;BRM;Air 500;Canada;N
136;AFQ;Alba Servizi Aerotrasporti;Italy;N
137;AFR;Air France;France;Y
138;ACG;Air Partner;United Kingdom;N
139;ACI;Air Caledonie International;France;Y
140;ACM;Air Caledonia;Canada;N
141;AGM;Air Guam;United States;N
142;AGN;Air Gabon;Gabon;N
143;AFS;Air Data;United Kingdom;N
144;AFV;Air Afrique Vacancies;Ivory Coast;N
145;MVM;Air Cargo America;United States;N
147;NGO;Air-Angol;Angola;N
148;NGP;Air Nigeria;Nigeria;N
149;SNC;Air Cargo Carriers;United States;Y
150;SND;Air Samarkand;Uzbekistan;N
151;SNG;Air Senegal International;Senegal;N
152;SNY;Air Sandy;Canada;N
153;NMB;Air Namibia;Namibia;Y
154;NSK;Air Intersalonika;Greece;N
155;NTL;Air Anatolia;Turkey;N
156;SGA;Air Saigon;Vietnam;N
157;AFW;Afrique Regional Airways;Ivory Coast;N
158;AFX;Airfreight Express;United Kingdom;N
159;AFY;Africa Chartered Services;Nigeria;N
160;AFZ;Africa Freight Services;Zambia;N
161;AGA;Aeronaves Del Centro;Venezuela;N
162;AGB;Air Service Gabon;Gabon;N
163;AGC;Arab Agricultural Aviation Company;Egypt;N
164;AGF;Atlantic Gulf Airlines;United States;N
165;SLI;Aerolitoral;Mexico;Y
166;AGG;Algoma Airways;Canada;N
167;AGH;Altagna;France;N
168;AGO;Angola Air Charter;Angola;N
169;AGO;Angola Air Charter;Angola;N
170;AGP;AERFI Group;Ireland;N
171;AGQ;Aerogala;Chile;N
172;AGT;Amadeus Global Travel Distribution;Spain;N
173;AGU;Angara Airlines;Russia;N
174;AGV;Air Glaciers;Switzerland;Y
175;AGW;Aero Gambia;Gambia;N
176;AGX;Aviogenex;Serbia;Y
177;BLR;Atlantic Coast Airlines;United States;N
178;BLZ;Aero Barloz;Mexico;N
179;PLI;Aeroper;Peru;Y
180;BMM;Atlas Blue;Morocco;Y
181;BNB;Aero Banobras;Mexico;N
182;AGY;Aero Flight Service;United States;N
183;AGZ;Agrolet-Mci;Slovakia;N
184;AHA;Air Alpha Greenland;Denmark;N
185;AHC;Azal Avia Cargo;Azerbaijan;N
186;AHE;Airport Helicopter Basel;AIRPORT HELICOPTER;N
187;CJE;Aeroservices Corporate;France;N
188;AHF;Aspen Helicopters;United States;N
189;AHG;Aerochago Airlines;Dominican Republic;N
190;AHH;Airplanes Holdings;Ireland;N
191;AHK;Air Hong Kong;Hong Kong;N
192;AHP;Aerochiapas;Mexico;N
193;AHR;Air Adriatic;Croatia;N
194;AHS;Air Viggi San Raffaele;Italy;N
195;AHU;ABC Air Hungary;Hungary;N
196;AHW;Aeromist-Kharkiv;Ukraine;N
197;AHY;Azerbaijan Airlines;Azerbaijan;Y
198;AIA;Avies;Estonia;Y
199;AIB;Airbus Industrie;France;N
200;AIH;Alpine Air Chile;Chile;N
201;AII;Air Integra;Canada;N
202;AIJ;ABC Aerolineas;Mexico;N
203;AIK;African Airlines International Limited;Kenya;N
204;AIN;African International Airways;Swaziland;N
205;AIP;Alpine Air Express;United States;N
206;AIU;Alicante Internacional Airlines;Spain;N
207;ABP;Aba Air;Czech Republic;N
208;ABQ;Airblue;Pakistan;Y
209;THM;Airmark Aviation;Thailand;N
210;AIR;Airlift International;United States;Y
211;AIT;Airest;Estonia;N
212;BFF;Air Baffin;Canada;N
213;BDM;Air Bandama;Ivory Coast;N
214;BER;Air Berlin;Germany;Y
215;ABT;Air Brousse;Canada;N
216;ABR;Air Contractors;Ireland;N
217;AIL;Air Illinois;United States;N
218;AIC;Air India Limited;India;Y
219;AIG;Air Inter Gabon;Gabon;N
220;BUB;Air Bourbon;Reunion;Y
221;ABD;Air Atlanta Icelandic;Iceland;Y
222;AIE;Air Inuit;Canada;N
223;AIS;Air Sureste;Spain;N
224;SBK;Air Srpska;Bosnia and Herzegovina;N
225;THT;Air Tahiti Nui;France;Y
226;AIV;Airvias S/A Linhas Aereas;Brazil;N
227;BES;Aero Services Executive;France;N
228;AIW;Atlantic Island Airways;Canada;N
229;AIX;Aircruising Australia;Australia;N
230;AIY;Aircrew Check and Training Australia;Australia;N
231;AIZ;Arkia Israel Airlines;Israel;Y
232;AJA;A J Services;United Kingdom;N
233;AJB;Aero JBR;Mexico;N
234;AJE;Aero Jet Express;Mexico;N
235;AJF;Avia Consult Flugbetriebs;Austria;N
236;AJI;Ameristar Jet Charter;United States;N
237;AJJ;A2 Jet Leasing;United States;N
238;AJK;Allied Air;Nigeria;N
239;AJM;Air Jamaica;Jamaica;Y
240;ADH;Air One;Italy;Y
241;RSH;Air Sahara;India;Y
242;AMC;Air Malta;Malta;Y
243;AJO;Aeroejecutivo;Mexico;N
244;AJP;Aero Jets Corporativos;Mexico;N
245;AJS;Aeroejecutivos Colombia;Colombia;N
246;AJT;Amerijet International;United States;N
247;AJU;Air Jetsul;Portugal;N
248;AJV;ANA & JP Express;Japan;N
249;AJW;Alpha Jet International;United States;N
250;AJX;Air Japan;Japan;Y
251;AJY;Ajet;Cyprus;N
252;AKA;Air Korea Co. Ltd.;Republic of Korea;Y
253;LIV;Air Livonia;Estonia;N
254;ABL;Air BC;Canada;N
255;ABN;Air Fret Senegal;Senegal;N
256;LJA;Air Jamahiriya Company;Libya;N
257;AKB;Aktjubavia;Kazakhstan;N
258;AKC;Arca Aerovias Colombianas Ltda.;Colombia;N
259;AKF;Anikay Air Company;Kyrgyzstan;N
260;AKH;Akhal;Turkmenistan;N
261;MNI;Aeromilenio;Mexico;N
262;AKK;Aklak Air;Canada;N
263;AKL;Air Kiribati;Kiribati;Y
264;AKN;Alkan Air;Canada;N
265;AKW;Angkor Airways;Cambodia;N
266;AKX;Air Nippon Network Co. Ltd.;Japan;N
267;AKZ;AK Navigator LLC;Kazakhstan;N
268;ALB;Aero Albatros;Mexico;N
269;ALD;Albion Aviation;United Kingdom;N
270;ALE;Aeroalas Colombia;Colombia;N
271;ALF;Allied Command Europe (Mobile Force);Belgium;N
272;BTS;Aerotaxis Albatros;Mexico;N
273;FYS;American Flyers;United States;N
274;DFA;Aero Coach Aviation;United States;N
275;CAA;Atlantic Southeast Airlines;United States;N
276;BVR;ACM Air Charter;Germany;N
277;ALG;Air Logistics;United States;N
278;ALL;Aerovallarta;Mexico;N
279;ALM;Air ALM;Netherlands Antilles;N
280;ALN;Air Lincoln;United States;N
281;AWE;America West Airlines;United States;Y
282;AWI;Air Wisconsin;United States;Y
283;TNO;Aerotransporte de Carga Union;Mexico;N
284;TND;Aero Taxis Cessna;Mexico;N
285;TMP;Arizona Express Airlines;United States;N
286;TAK;Tatarstan Airlines;Russia;Y
287;ALO;Allegheny Commuter Airlines;United States;Y
288;ALP;Alpliner AG;Switzerland;N
289;ALQ;Altair Aviation (1986);Canada;N
290;ALU;Air Luxor STP;Sao Tome and Principe;N
291;ALV;Alas de Venezuela;Venezuela;N
292;ALW;Alas Nacionales;ALNACIONAL;N
293;ALY;Alyeska Air Service;United States;N
294;ALZ;Alta Flights (Charters) Ltd.;Canada;N
295;RSI;Air Sunshine;United States;Y
296;AMA;ATMA;Kazakhstan;N
297;AMD;Aerolineas Medellin;Colombia;N
298;AMF;Ameriflight;United States;N
300;KLA;Air Lithuania;Lithuania;N
301;AMG;Air Minas Linhas A;Brazil;N
302;AMH;Alan Mann Helicopters Ltd.;United Kingdom;N
303;AMI;Air Maldives;Maldives;N
304;AMJ;Aviation Amos;Canada;N
305;AMK;Amerer Air;Austria;N
306;AML;Air Malawi;Malawi;Y
307;AMM;Aeroputul International Marculesti;Moldova;N
308;AMN;Air Montenegro;Montenegro;N
309;AMO;Air Montreal (Air Holdings Inc.);Canada;N
310;AMP;Aero Transporte S.A. (ATSA);Peru;N
311;AMQ;Aeromedicare Ltd.;United Kingdom;N
313;AMR;Air Specialties Corporation;United States;N
314;AMS;Air Muskoka;Canada;N
315;AMT;ATA Airlines;United States;Y
316;AMU;Air Macau;Macao;Y
317;AMV;AMC Airlines;Egypt;Y
318;AMW;Air Midwest;United States;N
319;SEY;Air Seychelles;Seychelles;Y
320;SFB;Air Sofia;Bulgaria;N
321;AMX;AeroMexico;Mexico;Y
322;AMY;Air Ambar;Dominican Republic;N
323;AMZ;Amiya Airline;Nigeria;N
324;ANA;All Nippon Airways;Japan;Y
325;ANB;Air Navigation And Trading Co. Ltd.;United Kingdom;N
326;ANC;Anglo Cargo;United Kingdom;N
327;ANE;Air Nostrum;Spain;Y
328;ANG;Air Niugini;Papua New Guinea;Y
329;ABY;Air Arabia;United Arab Emirates;Y
330;ACA;Air Canada;Canada;Y
331;BRP;Airport Bratsk;Russia;N
332;BSB;Air Wings;Moldova;N
333;BTI;Air Baltic;Latvia;Y
334;ANH;Alajnihah for Air Transport;Libya;N
335;ANI;Air Atlantic (Nig) Limited;Nigeria;N
336;ANK;Air Nippon;Japan;Y
337;ANM;Antares Airtransport;ANTARES;N
338;ANO;Airnorth;Australia;Y
339;ANQ;Aerol;Colombia;N
340;ANS;Andes Lineas Aereas;Argentina;N
341;ANT;Air North Charter - Canada;Canada;Y
342;ANV;Air Nevada;United States;N
343;AOM;AOM French Airlines;France;N
344;ANW;Aviacion Del Noroeste;AVINOR;N
345;ANZ;Air New Zealand;New Zealand;Y
346;SAP;Avia Jaynar;Kazakhstan;N
347;EMS;Aero Servicios Empresariales;Mexico;N
348;AOA;Alcon Servicios Aereos;ALCON;N
349;AOC;AVCOM;Russia;N
350;AOD;Aero Vodochody;Czech Republic;N
351;AOE;Air One Executive;Italy;N
352;AOF;Atair Pty Ltd.;South Africa;N
353;AOG;Aero VIP;Argentina;N
354;MUN;Aeromundo Ejecutivo;Mexico;N
355;MUR;Aerolinea Muri;Mexico;N
356;AOI;Astoria;ASTORIA;N
357;NRO;Aero Rent JSC;Russia;N
358;NRP;Aeronord-Grup;Moldova;N
359;AOK;Aeroatlantico Colombia;Colombia;N
360;AOL;Angkor Airlines;Cambodia;N
361;AON;Aero Entreprise;France;N
362;AOO;As;COMPANY AS;N
363;AOP;Aeropiloto;Portugal;N
364;VIV;Aeroenlaces Nacionales;Mexico;N
365;VIZ;Aerovis Airlines;Ukraine;N
366;VJE;Avjet International (FZE);United Arab Emirates;N
367;VGF;Aerovista Gulf Express;United Arab Emirates;N
368;VGA;Air Vegas;United States;N
369;VER;Almaver;Mexico;N
370;AOR;Afro International Ent. Limited;Nigeria;N
371;SMX;Alitalia Express;Italy;Y
372;AOT;Asia Overnight Express;Philippines;N
373;AOU;Air Tractor;Croatia;N
374;AOV;Aero Vision;France;N
375;AOX;Aerotaxi Del Valle;Colombia;N
376;APA;Air Park Aviation Ltd.;Canada;N
377;APC;Airpac Airlines;AIRPAC;N
378;SVM;Aeroservicios Monterrey;Mexico;N
379;APF;Amapola Flyg AB;Sweden;N
380;APG;Air People International;Thailand;N
381;APH;Alpha Aviation;AIRFLIGHT;N
382;API;ASA Pesada;ASA PESADA;N
383;APJ;Air Print;AIR PRINT;N
384;BJK;Atlantic Airlines;United States;N
385;PET;Aerotransporte Petrolero;Colombia;N
386;ARF;Aero Flight;Germany;Y
387;BJT;ACM Aviation;United States;N
388;BKL;Aircompany Barcol;Russia;N
389;BLA;All Charter Limited;United Kingdom;N
390;APL;Appalachian Flying Service;APPALACHIAN;N
391;APM;Airpac;ALASKA PACIFIC;N
392;APO;Aeropro;Canada;N
393;APP;Aerolineas Pacifico Atlantico;AEROPERLAS;N
394;APQ;Aspen Aviation;United States;N
395;APU;Aeropuma;AEROPUMA;N
396;APV;Air Plan International;Democratic Republic of the Congo;N
397;APW;Arrow Air;United States;Y
398;APX;Apex Air Cargo;United States;N
399;APY;APA Internacional;Dominican Republic;N
400;AQA;Aeroatlas;ATCO;N
401;AQL;Aquila Air Ltd.;Canada;N
402;AQN;Air Queensland;Australia;N
403;AQO;Aluminum Company Of America;United States;N
404;AQT;Aviones de Renta de Quintana Roo;AVIOQUINTANA;N
405;AQU;AirQuarius Aviation;South Africa;N
406;AQZ;Aerodyne Charter Company;United States;N
407;ARA;Arik Air;Nigeria;N
408;ARB;Avia Air N.V.;Aruba;N
409;ARC;Air Routing International Corp.;United States;N
410;ARD;Aerocondor;Portugal;Y
411;ARE;Aires;Desconocido;Y
412;ARG;Aerolineas Argentinas;Argentina;Y
413;ARH;Arrowhead Airways;United States;N
414;ARI;Aero Vics;Mexico;N
415;ARJ;Aerojet de Costa Rica;Costa Rica;N
416;SUN;Antillana De Navegacion Aerea;Dominican Republic;N
417;SUO;Aeroservicios De San Luis;Mexico;N
418;SUP;Aerosuper;Mexico;N
419;ARK;Aero Link Air Services S.L.;Spain;N
420;ARL;Airlec - Air Aquitaine Transport;France;N
421;ARM;Aeromarket Express;Spain;N
422;ARO;Arrow Aviation Ltd.;Canada;N
423;ARP;RPA-Aviataxi Ltd.;Russia;N
424;KLD;Air Klaipeda;Lithuania;N
425;ARQ;Armstrong Air;ARMSTRONG;N
426;ARR;Air Armenia;Armenia;N
427;ARS;Aeromet Servicios;Chile;N
428;ART;Aerotal Aerolineas Territoriales de Colombia Ltda;Colombia;N
429;ARV;Aravco Ltd.;United Kingdom;N
430;ARW;Aria;France;N
431;ARX;Air Xpress;AIREX;N
432;OST;Airline Alania;Russia;N
433;HTT;Air Tchad;Chad;N
434;HUC;Aerloineas de Techuacan;Mexico;N
435;HUT;Aerotransportes Huitzilin;Mexico;N
436;HUY;Aero Transportes Del Humaya;Mexico;N
437;ARY;Argosy Airways;United States;N
438;ARZ;Air Resorts;United States;N
439;ASA;Alaska Airlines;ALASKA;Y
440;ASB;Air-Spray 1967 Ltd.;Canada;N
441;ASC;Air Star Corporation;Canada;N
442;ASD;Air Sinai;Egypt;Y
443;ASE;Airstars;Russia;N
444;ASF;Air Schefferville;SCHEFF;N
445;ASG;African Star Airways (PTY) Ltd.;South Africa;N
446;ASI;Aerosun International;AEROSUN;N
447;ASJ;Air Satellite;Canada;N
448;ASM;Awesome Flight Services (PTY) Ltd.;South Africa;N
449;ASN;Air and Sea Transport;Russia;N
450;ASO;Aero Slovakia;Slovakia;N
451;ASP;Airsprint;Canada;N
452;ASQ;Atlantic Southeast Airlines;United States;Y
453;ASR;All Star Airlines;ALL STAR;N
454;ASS;Air Class;AIR CLASS;N
455;AST;Aerlineas Del Oeste;Mexico;N
456;NRE;Aviones Are;Mexico;N
457;NPL;Air Nepal International;Nepal;N
458;NPR;Air Napier;New Zealand;N
459;WAM;Air Taxi & Cargo;Sudan;N
460;WAP;Arrow Panama;Panama;N
461;ASV;Astravia-Bissau Air Transports Ltd.;Guinea-Bissau;N
462;ASZ;Astrakhan Airlines;Russia;Y
463;ATA;Air Transport Association;United States;N
464;ATB;Atlantair Ltd.;Canada;N
465;ATC;Air Tanzania;Tanzania;Y
466;ATD;Aerotours Dominicana;Dominican Republic;N
467;ATE;Atlantis Transportation Services;ATLANTIS CANADA;N
468;ATG;Aerotrans Airline;Kazakhstan;N
469;XAC;Air Charter World;United States;N
470;VBW;Air Burkina;Burkina Faso;Y
471;ATH;Air Travel Corp.;United States;N
472;ATI;Aero-Tropics Air Services;Australia;N
473;ATJ;Air Traffic GmbH;Germany;N
474;ATK;AeroTACA;Colombia;N
475;ATL;Aerocentral;Mexico;N
476;ATM;Airlines Of Tasmania;Australia;Y
477;SPM;Air Saint Pierre;France;Y
478;ATN;Air Transport International;United States;N
479;ATP;ASTRAL Colombia - Aerotransportes Especiales Ltda.;Colombia;N
480;ATQ;Air Transport Schiphol;Netherlands;N
481;FEO;Aeroferinco;Mexico;N
482;FES;Aero Taxis Y Servicios Alfe;Mexico;N
483;FFA;Avialesookhrana;Russia;N
484;FFB;Africair Service;Senegal;N
485;ATR;Atlas Airlines;United States;N
486;ATS;Air Transport Service;Democratic Republic of the Congo;N
487;ATT;Aer Turas;Ireland;N
488;ATU;Atlant Aerobatics Ltd.;Hungary;N
489;ATV;Avanti Air;Germany;N
490;ATW;Aero Trades (Western) Ltd.;Canada;N
491;AUA;Austrian Airlines;Austria;Y
492;WOW;Air Southwest;United Kingdom;Y
493;AUB;Augsburg Airways;Germany;Y
494;CPV;Air Corporate;Italy;N
495;TUP;Aviastar-Tu;Russia;N
496;ABW;AirBridge Cargo;Russia;N
497;TUR;ATUR;Ecuador;Y
498;TXU;ATESA Aerotaxis Ecuatorianos;Ecuador;N
499;TXX;Austin Express;United States;N
500;AUD;Audi Air;AUDI AIR;N
501;AUF;Augusta Air Luftfahrtunternehmen;Germany;N
502;AUH;Abu Dhabi Amiri Flight;United Arab Emirates;Y
503;AUL;Aeroflot-Nord;Russia;Y
504;AUM;Air Atlantic Uruguay;Uruguay;N
505;AUN;Aviones Unidos;Mexico;N
506;AUP;Avia Business Group;Russia;N
507;SVE;Aero Servicios Expecializados;Mexico;N
508;AUR;Aurigny Air Services;United Kingdom;Y
509;AUS;Aus-Air;Australia;N
510;AUT;Austral Lineas Aereas;Argentina;Y
511;AUU;Aurora Aviation;AURORA AIR;N
512;AUX;Air Uganda International Ltd.;Uganda;N
513;AUY;Aerolineas Uruguayas;AUSA;N
514;AUZ;Australian Airlines;Australia;N
515;AVA;Avianca - Aerovias Nacionales de Colombia;AVIANCA;Y
516;AVB;Aviation Beaufort;United Kingdom;N
517;AVD;Alamo Aviacion;ALAMO;N
518;AVF;Aviair Aviation Ltd.;Canada;N
519;AVG;Air Falcon;Djibouti;N
520;AVH;AV8 Helicopters;United Kingdom;N
521;AVJ;Avia Traffic Company;Kyrgyzstan;N
522;AVK;AV8 Helicopters;South Africa;N
523;AVM;Aviacion Ejecutiva Mexicana;AVEMEX;N
524;AVN;Air Vanuatu;Vanuatu;Y
525;AVO;Aviation at Work;South Africa;N
526;AVP;Avcorp Registrations;United Kingdom;N
527;LFP;Alfa Aerospace;Australia;N
528;LFR;Atlantic Airfreight Aviation;Sao Tome and Principe;N
529;LFT;Aerolift Company;Sierra Leone;N
530;AVQ;Aviation Services;AQUILINE;N
531;AVR;Active Aero Charter;ACTIVE AERO;N
532;AVS;Avialsa T-35;Spain;N
533;AVT;Asia Avia Airlines;Indonesia;N
534;AVU;Avia Sud A;France;N
535;AVV;Airvantage Incorporated;United States;N
536;AVW;Aviator Airways;Greece;N
537;AVX;Aviapaslauga;Lithuania;N
538;XXX;ASL;Belgium;N
539;YRG;Air Yugoslavia;Serbia;N
540;ZAK;Airlink Zambia;Zambia;N
541;ZZM;Agence Nationale des Aerodromes et de la Meteorologie;Ivory Coast;N
542;BGA;Airbus Transport International;France;N
543;BGD;Air Bangladesh;Bangladesh;Y
544;BGF;Aviodetachment-28;Bulgaria;N
545;BGG;Aero BG;Mexico;N
546;BHC;Aerotaxis De La Bahia;Mexico;N
547;BIE;Air Mediterranee;France;Y
548;BIV;Aviaservice;Georgia;N
549;SZA;Aerolineas De El Salvador;El Salvador;N
550;SZL;Swaziland Airlink;Swaziland;N
551;TAH;Air Moorea;France;Y
552;AVY;Aerovaradero;AEROVARADERO;N
553;AVZ;Air Valencia;Spain;N
554;AWB;Airways International;AIRNAT;N
555;AWK;Airwork;New Zealand;N
556;AWL;Australian Wetleasing;Australia;N
557;AWN;Air Niamey;Niger;N
558;AWO;Awood Air Ltd.;Canada;N
559;AWR;Arctic Wings And Rotors Ltd.;Canada;N
560;ISM;Auo Airclub AIST-M;Russia;N
561;AWS;Arab Wings;Jordan;N
562;AWT;Air West;Canada;N
563;AWU;Aeroline GmbH;Germany;Y
564;AWV;Airwave Transport;AIRWAVE;N
565;AWW;Air Wales;United Kingdom;Y
566;AWY;Aeroway;AEROWEE;N
567;FWI;Air Cara?bes;France;Y
568;AWZ;AirWest;Sudan;N
569;AXB;Air India Express;India;Y
570;AXD;Air Express;Sudan;N
571;AXF;Asian Express Airlines;Australia;N
572;AXH;Aeromexhaga;Mexico;N
573;AXI;Aeron International Airlines;AIR FREIGHTER;N
574;AXK;African Express Airways;Kenya;N
575;AXL;Air Exel;Netherlands;Y
576;AXM;AirAsia;Malaysia;Y
577;AXN;Alexandair;Greece;N
578;AXP;Aeromax;Spain;N
579;AXQ;Action Airlines (Action Air Charter);United States;N
580;BNI;Alberni Airways;Canada;N
581;BNZ;Aerolineas Bonanza;Mexico;N
582;BOC;Aerobona;Mexico;N
583;BOI;Aboitiz Air;Philippines;N
584;AXR;Axel Rent;RENTAXEL;N
585;AXS;Altus Airlines;United States;N
586;AXV;Aviaxess;France;N
587;AXX;Avioimpex A.D.p.o.;Macedonia;N
588;AXY;Axis Airways;France;N
589;AYD;Aladia Airlines;Mexico;N
590;AYK;Aykavia Aircompany;Armenia;N
591;AYM;Airman;AIRMAN;N
592;AYN;Atlantic Airlines;ATLANTIC NICARAGUA;N
593;AYS;Awsaj Aviation Services;Libya;N
594;AYT;Ayeet Aviation & Tourism;Israel;N
595;AYZ;Atlant-Soyuz Airlines;Russia;Y
596;AZA;Alitalia;Italy;Y
597;AZB;Azamat;Kazakhstan;N
598;AZE;Arcus-Air Logistic;Germany;N
599;AZF;Air Zermatt AG;Switzerland;N
600;AZK;Azalhelikopter;Azerbaijan;N
601;AZL;Africa One;Zambia;N
602;AZM;Aerocozumel;Mexico;N
603;AZN;Amaszonas;Bolivia;Y
604;AZP;Arizona Pacific Airways;United States;N
605;AZS;Aviacon Zitotrans Air Company;Russia;N
606;AZT;Azimut;AZIMUT;N
607;AZV;Azov Avia Airlines;Ukraine;N
608;AZW;Air Zimbabwe;Zimbabwe;Y
609;MHC;Aero Jomacha;Mexico;N
610;MHS;Air Memphis;Egypt;N
611;MHU;Air Memphis;Uganda;N
612;MKH;Air Marrakech Service;Morocco;N
613;AZX;Air Max Africa;Gabon;N
614;AZY;Arizona Airways;ARIZAIR;N
615;AZZ;Azza Transport;Sudan;N
616;NAR;Air Continental Inc;United States;N
617;NAU;Antanik-Air;Ukraine;N
618;NER;Air Newark;United States;N
619;NFF;Aircraft Support and Services;Lebanon;N
620;OBA;Aerobanana;Mexico;N
621;OBK;Amako Airlines;Nigeria;N
622;OCA;Aserca Airlines;Venezuela;Y
623;NFS;Afrique CArgo Service Senegal;Senegal;N
